scaled_x,scaled_y,scaled_z,U_profile,V_profile,W_profile,P_profile
-0.26221287,0.888498,0.32424358,-0.0029392904,10.000667,-8.37581,-0.18812652
0.2167457,-0.113985606,0.67225486,-0.0029018736,9.995078,-8.369588,-0.07331234
0.074462675,-0.3025246,0.1452592,-0.003085398,9.994735,-8.369222,-0.065613054
0.52084714,0.30491433,0.7648983,-0.0028226068,9.994187,-8.368687,-0.066299625
-0.21676838,-0.28588432,0.35109532,-0.0028678188,10.0003,-8.37501,0.23807716
0.033360645,0.026289454,0.95124507,-0.0029635867,9.992714,-8.367165,0.0022095852
-0.073402695,-0.18333197,0.0089542,-0.0032126429,10.012745,-8.387407,0.15402211
-0.30476913,-0.4275708,0.48730868,-0.0031323554,10.003284,-8.377883,0.30705887
0.6127148,-0.060763482,0.4711859,-0.0028507737,9.995599,-8.370061,-0.08629912
0.051068198,-0.099054895,0.6785589,-0.0028921748,9.990441,-8.3649645,-0.0024303086
0.044739585,0.66573983,0.16112156,-0.0033326698,9.999288,-8.37361,-0.020831594
0.6308451,0.46571186,0.93517387,-0.0028304895,9.999647,-8.374011,-0.08572045
0.11518398,-0.0534913,0.61852103,-0.0028675767,9.987776,-8.362295,-0.0068063717
-0.07204549,0.11833859,0.039693817,-0.0025666682,10.021724,-8.396989,0.13791241
-0.4192501,0.5307863,0.18821377,-0.0022194413,10.004506,-8.379796,-0.35370445
0.04630684,-0.009601633,0.009358309,-0.0031284587,9.987864,-8.362474,0.09113463
-0.024835194,0.05043538,0.7101517,-0.002907143,9.982697,-8.357162,0.079540186
-0.019885946,-0.0044529797,0.84941185,-0.0029358352,9.98947,-8.363924,0.036840327
0.8549778,-0.3272901,0.6635891,-0.0026738634,10.00181,-8.376369,-0.1178342
0.0031740568,0.024972629,0.033738215,-0.0031820936,9.9956875,-8.370299,0.12182076
0.27203602,-0.8332181,0.5561206,-0.0030063605,10.002194,-8.376684,-0.094428636
-0.48302814,0.13279288,0.5723401,-0.0032715937,10.010983,-8.385594,0.33382583
0.3646561,0.702644,0.17002924,-0.002605035,10.000207,-8.374848,0.003275035
