x,y,z,u,v,w,pressure
0.0,0.0,1.0,-3.1441245,3.7537498,-0.4672072,-0.61265594
0.03448276,0.0,0.0,-3.8882318,2.747663,1.2817787,0.029503256
0.03448276,0.0,0.03448276,-1.8105501,1.8278393,0.124028645,-0.10884909
0.03448276,0.0,0.06896552,-0.8455821,1.4298977,-0.44289324,-0.21685664
0.03448276,0.0,0.10344828,-1.5077035,1.7151166,-0.06589295,-0.2066543
0.03448276,0.0,0.13793103,-1.4561131,1.5653951,0.032352887,-0.16629194
0.03448276,0.0,0.1724138,-0.0226333,0.7968306,-0.6324554,-0.20808722
0.03448276,0.0,0.20689656,-0.11734639,0.9215085,-0.6622932,-0.18810529
0.03448276,0.0,0.2413793,-4.0577445,3.0800357,1.119763,0.0718597
0.03448276,0.0,0.27586207,-4.463601,3.3689191,1.236796,0.15441346
0.03448276,0.0,0.31034482,-4.962524,3.9572053,1.1476545,0.4270866
0.03448276,0.0,0.3448276,-8.337859,5.7986975,2.681581,0.40247893
0.03448276,0.0,0.37931034,-4.5448318,4.0734777,0.6139861,0.26381147
0.03448276,0.0,0.41379312,0.014519095,1.9605608,-1.832332,0.05849459
0.03448276,0.0,0.44827586,1.911683,1.0650804,-2.8340735,0.08403879
0.03448276,0.0,0.4827586,4.364242,-0.16800107,-4.053581,0.03986367
0.03448276,0.0,0.51724136,5.351129,-0.6514176,-4.5570335,-0.05661545
0.03448276,0.0,0.55172414,4.847448,-0.3195142,-4.3852463,-0.16200684
0.03448276,0.0,0.5862069,1.5071589,1.6191995,-2.9836717,-0.40693408
0.03448276,0.0,0.62068963,-0.052917123,2.4694915,-2.2738767,-0.48580223
0.03448276,0.0,0.6551724,-2.0635319,3.4808187,-1.2745758,-0.49640316
0.03448276,0.0,0.6896552,-4.861546,4.8409314,0.16332221,-0.57391673
0.03448276,0.0,0.7241379,-5.4157596,4.871203,0.6872965,-0.85109335
0.03448276,0.0,0.7586207,-5.192102,4.6795726,0.6552913,-0.9316823
0.03448276,0.0,0.79310346,-5.165768,4.6570134,0.65152097,-0.939805
0.03448276,0.0,0.82758623,-5.1663556,4.6564546,0.6526679,-0.94003516
0.03448276,0.0,0.86206895,-5.1441655,4.6456723,0.641255,-0.9372398
0.03448276,0.0,0.8965517,-4.992452,4.568893,0.5663036,-0.92080635
0.03448276,0.0,0.9310345,-4.341619,4.2349544,0.24933398,-0.850812
0.03448276,0.0,0.9655172,-3.932077,4.029275,0.045346975,-0.7775391
0.03448276,0.0,1.0,-4.389154,4.2806563,0.25097203,-0.77590615
0.06896552,0.0,0.0,-4.6452146,3.1256626,1.6607693,0.040815867
0.06896552,0.0,0.03448276,-3.240275,2.5362368,0.845345,-0.07663748
0.06896552,0.0,0.06896552,-1.1805035,1.598257,-0.2763404,-0.20965788
0.06896552,0.0,0.10344828,-1.41152,1.6651132,-0.1120753,-0.20675471
0.06896552,0.0,0.13793103,-1.4506978,1.5561545,0.03617712,-0.16163756
0.06896552,0.0,0.1724138,-0.49232304,1.037375,-0.40329683,-0.1759844
0.06896552,0.0,0.20689656,-3.8381042,2.9365616,1.0435538,0.054823037
0.06896552,0.0,0.2413793,-4.250239,3.185847,1.2064598,0.09294781
0.06896552,0.0,0.27586207,-5.1788354,3.7548032,1.5661674,0.19079728
0.06896552,0.0,0.31034482,-6.211084,4.5861793,1.7672405,0.45094067
0.06896552,0.0,0.3448276,-9.177509,6.196869,3.1230474,0.40170932
